year,data
1901,78.79486846923828
1902,84.40330505371094
1903,91.74327087402344
1904,80.09796142578125
1905,78.16678619384766
1906,88.11647033691406
1907,81.79078674316406
1908,89.10719299316406
1909,92.46663665771484
1910,95.00166320800781
1911,81.36170959472656
1912,86.54395294189453
1913,85.86878967285156
1914,91.71066284179688
1915,89.47924041748047
1916,102.14550018310547
1917,104.99858093261719
1918,73.6700668334961
1919,93.66563415527344
1920,78.46710968017578
1921,91.81278991699219
1922,93.17350769042969
1923,83.14154052734375
1924,88.62940979003906
1925,89.10337829589844
1926,88.32887268066406
1927,89.51251983642578
1928,86.63646697998047
1929,87.79368591308594
1930,86.82964324951172
1931,96.38279724121094
1932,91.10240936279297
1933,101.95049285888672
1934,93.89045715332031
1935,85.55680847167969
1936,96.88302612304688
1937,86.21821594238281
1938,93.97714233398438
1939,86.87992095947266
1940,89.10232543945312
1941,81.7341537475586
1942,95.19384765625
1943,93.49065399169922
1944,96.82044982910156
1945,91.99545288085938
1946,97.70130920410156
1947,96.52381896972656
1948,93.70183563232422
1949,98.49662780761719
1950,87.25546264648438
1951,85.21477508544922
1952,82.25321197509766
1953,93.45619201660156
1954,94.58788299560547
1955,99.09661102294922
1956,107.6991958618164
1957,82.24388122558594
1958,96.3884048461914
1959,98.83907318115234
1960,86.27354431152344
1961,100.19181060791016
1962,88.9980239868164
1963,91.05929565429688
1964,96.99894714355469
1965,76.54075622558594
1966,80.57744598388672
1967,86.8780517578125
1968,82.80973815917969
1969,88.03538513183594
1970,99.20361328125
1971,93.01795959472656
1972,72.83472442626953
1973,95.71573638916016
1974,82.98332214355469
1975,100.72822570800781
1976,89.95536804199219
1977,95.50262451171875
1978,96.86747741699219
1979,80.38723754882812
1980,88.65818786621094
1981,90.422119140625
1982,81.6530990600586
1983,98.97132873535156
1984,86.56168365478516
1985,85.68126678466797
1986,82.69403076171875
1987,78.32840728759766
1988,98.02458953857422
1989,84.51445007324219
1990,101.04466247558594
1991,89.91741943359375
1992,79.10905456542969
1993,89.05093383789062
1994,95.86811065673828
1995,89.44258117675781
1996,90.17530822753906
1997,86.19477844238281
1998,92.12220764160156
1999,86.45121765136719
2000,82.43509674072266
2001,81.91725158691406
2002,74.75985717773438
2003,85.40748596191406
2004,85.77689361572266
2005,94.89225006103516
2006,91.56941986083984
2007,94.01995086669922
2008,91.58190155029297
2009,80.21540832519531
2010,107.65877532958984
2011,94.52915954589844
2012,92.322509765625
